hobo_id	tstamp	value
10132405	2019-12-25 10:00:00	9.759
10132405	2019-12-25 11:00:00	9.303
10132405	2019-12-25 12:00:00	9.303
10132405	2019-12-25 13:00:00	8.467
10132405	2019-12-25 14:00:00	8.619
10132405	2019-12-25 15:00:00	8.847
10132405	2019-12-25 16:00:00	8.619
10132405	2019-12-25 17:00:00	8.087
10132405	2019-12-25 18:00:00	6.335
10132405	2019-12-25 19:00:00	7.479
10132405	2019-12-25 20:00:00	6.719
10132405	2019-12-25 21:00:00	6.414
10132405	2019-12-25 22:00:00	6.186
10132405	2019-12-25 23:00:00	5.578
10132405	2019-12-26 00:00:00	5.654
10132405	2019-12-26 01:00:00	5.654
10132405	2019-12-26 02:00:00	5.198
10132405	2019-12-26 03:00:00	4.362
10132405	2019-12-26 04:00:00	4.742
10132405	2019-12-26 05:00:00	4.134
10132405	2019-12-26 06:00:00	4.742
10132405	2019-12-26 07:00:00	4.666
10132405	2019-12-26 08:00:00	3.982
10132405	2019-12-26 09:00:00	4.59
10132405	2019-12-26 10:00:00	4.97
10132405	2019-12-26 11:00:00	5.198
10132405	2019-12-26 12:00:00	5.73
10132405	2019-12-26 13:00:00	4.83
10132405	2019-12-26 14:00:00	6.414
10132405	2019-12-26 15:00:00	6.338
10132405	2019-12-26 16:00:00	6.567
10132405	2019-12-26 17:00:00	6.567
10132405	2019-12-26 18:00:00	7.859
10132405	2019-12-26 19:00:00	7.783
10132405	2019-12-26 20:00:00	7.859
10132405	2019-12-26 21:00:00	8.163
10132405	2019-12-26 22:00:00	8.467
10132405	2019-12-26 23:00:00	8.847
10132405	2019-12-27 00:00:00	8.847
10132405	2019-12-27 01:00:00	9.075
10132405	2019-12-27 02:00:00	9.531
10132405	2019-12-27 03:00:00	9.607
10132405	2019-12-27 04:00:00	8.923
10132405	2019-12-27 05:00:00	8.619
10132405	2019-12-27 06:00:00	8.315
10132405	2019-12-27 07:00:00	8.619
10132405	2019-12-27 08:00:00	8.771
10132405	2019-12-27 09:00:00	8.619
10132405	2019-12-27 10:00:00	9.303
10132405	2019-12-27 11:00:00	9.455
10132405	2019-12-27 12:00:00	9.531
10132405	2019-12-27 13:00:00	9.379
10132405	2019-12-27 14:00:00	9.683
10132405	2019-12-27 15:00:00	9.531
10132405	2019-12-27 16:00:00	9.303
10132405	2019-12-27 17:00:00	8.847
10132405	2019-12-27 18:00:00	8.771
10132405	2019-12-27 19:00:00	8.467
10132405	2019-12-27 20:00:00	7.935
10132405	2019-12-27 21:00:00	7.631
10132405	2019-12-27 22:00:00	7.403
10132405	2019-12-27 23:00:00	7.175
10132405	2019-12-28 00:00:00	7.023
10132405	2019-12-28 01:00:00	6.871
10132405	2019-12-28 02:00:00	6.719
10132405	2019-12-28 03:00:00	6.643
10132405	2019-12-28 04:00:00	6.643
10132405	2019-12-28 05:00:00	6.338
10132405	2019-12-28 06:00:00	6.262
10132405	2019-12-28 07:00:00	5.654
10132405	2019-12-28 08:00:00	5.654
10132405	2019-12-28 09:00:00	5.958
10132405	2019-12-28 10:00:00	5.806
10132405	2019-12-28 11:00:00	5.426
10132405	2019-12-28 12:00:00	4.894
10132405	2019-12-28 13:00:00	5.35
10132405	2019-12-28 14:00:00	5.35
10132405	2019-12-28 15:00:00	5.73
10132405	2019-12-28 16:00:00	5.578
10132405	2019-12-28 17:00:00	5.35
10132405	2019-12-28 18:00:00	5.198
10132405	2019-12-28 19:00:00	4.742
10132405	2019-12-28 20:00:00	4.21
10132405	2019-12-28 21:00:00	4.21
10132405	2019-12-28 22:00:00	3.678
10132405	2019-12-28 23:00:00	3.146
10132405	2019-12-29 00:00:00	3.07
10132405	2019-12-29 01:00:00	2.31
10132405	2019-12-29 02:00:00	2.234
10132405	2019-12-29 03:00:00	2.462
10132405	2019-12-29 04:00:00	2.386
10132405	2019-12-29 05:00:00	2.234
10132405	2019-12-29 06:00:00	-0.588
10132405	2019-12-29 07:00:00	1.778
10132405	2019-12-29 08:00:00	2.234
10132405	2019-12-29 09:00:00	2.462
10132405	2019-12-29 10:00:00	2.766
10132405	2019-12-29 11:00:00	2.234
10132405	2019-12-29 12:00:00	2.614
10132405	2019-12-29 13:00:00	2.994
10132405	2019-12-29 14:00:00	2.538
10132405	2019-12-29 15:00:00	2.69
10132405	2019-12-29 16:00:00	2.082
10132405	2019-12-29 17:00:00	2.234
10132405	2019-12-29 18:00:00	2.006
10132405	2019-12-29 19:00:00	2.31
10132405	2019-12-29 20:00:00	2.082
10132405	2019-12-29 21:00:00	2.006
10132405	2019-12-29 22:00:00	2.006
10132405	2019-12-29 23:00:00	2.006
10132405	2019-12-30 00:00:00	1.702
10132405	2019-12-30 01:00:00	1.854
10132405	2019-12-30 02:00:00	1.702
10132405	2019-12-30 03:00:00	1.778
10132405	2019-12-30 04:00:00	1.626
10132405	2019-12-30 05:00:00	1.55
10132405	2019-12-30 06:00:00	1.246
10132405	2019-12-30 07:00:00	1.474
10132405	2019-12-30 08:00:00	1.626
10132405	2019-12-30 09:00:00	1.778
10132405	2019-12-30 10:00:00	2.082
10132405	2019-12-30 11:00:00	2.918
10132405	2019-12-30 12:00:00	3.83
10132405	2019-12-30 13:00:00	5.958
10132405	2019-12-30 14:00:00	5.73
10132405	2019-12-30 15:00:00	5.578
10132405	2019-12-30 16:00:00	3.312
10132405	2019-12-30 17:00:00	3.982
10132405	2019-12-30 18:00:00	3.45
10132405	2019-12-30 19:00:00	3.222
10132405	2019-12-30 20:00:00	3.374
10132405	2019-12-30 21:00:00	3.298
10132405	2019-12-30 22:00:00	3.222
10132405	2019-12-30 23:00:00	3.906
10132405	2019-12-31 00:00:00	4.21
10132405	2019-12-31 01:00:00	3.754
10132405	2019-12-31 02:00:00	3.526
10132405	2019-12-31 03:00:00	3.07
10132405	2019-12-31 04:00:00	2.918
10132405	2019-12-31 05:00:00	2.766
10132405	2019-12-31 06:00:00	1
10132405	2019-12-31 07:00:00	2.538
10132405	2019-12-31 08:00:00	2.842
10132405	2019-12-31 09:00:00	3.07
10132405	2019-12-31 10:00:00	5.046
10132405	2019-12-31 11:00:00	7.251
10132405	2019-12-31 12:00:00	9.107
10132405	2019-12-31 13:00:00	8.099
10132405	2019-12-31 14:00:00	6.491
10132405	2019-12-31 15:00:00	6.871
10132405	2019-12-31 16:00:00	5.882
10132405	2019-12-31 17:00:00	3.927
10132405	2019-12-31 18:00:00	2.907
10132405	2019-12-31 19:00:00	2.087
10132405	2019-12-31 20:00:00	3.83
10132405	2019-12-31 21:00:00	3.298
10132405	2019-12-31 22:00:00	2.918
10132405	2019-12-31 23:00:00	2.994
10132405	2020-01-01 00:00:00	2.158
10132405	2020-01-01 01:00:00	2.234
10132405	2020-01-01 02:00:00	1.854
10132405	2020-01-01 03:00:00	2.006
10132405	2020-01-01 04:00:00	1.778
10132405	2020-01-01 05:00:00	1.778
10132405	2020-01-01 06:00:00	1.474
10132405	2020-01-01 07:00:00	1.55
10132405	2020-01-01 08:00:00	1.398
10132405	2020-01-01 09:00:00	1.778
10132405	2020-01-01 10:00:00	1.778
10132405	2020-01-01 11:00:00	1.778
10132405	2020-01-01 12:00:00	2.31
10132405	2020-01-01 13:00:00	2.462
10132405	2020-01-01 14:00:00	2.386
10132405	2020-01-01 15:00:00	2.386
10132405	2020-01-01 16:00:00	-0.307
10132405	2020-01-01 17:00:00	1.93
10132405	2020-01-01 18:00:00	2.082
10132405	2020-01-01 19:00:00	1.702
10132405	2020-01-01 20:00:00	1.778
10132405	2020-01-01 21:00:00	1.778
10132405	2020-01-01 22:00:00	1.626
10132405	2020-01-01 23:00:00	1.55
10132405	2020-01-02 00:00:00	1.626
10132405	2020-01-02 01:00:00	1.474
10132405	2020-01-02 02:00:00	1.246
10132405	2020-01-02 03:00:00	1.17
10132405	2020-01-02 04:00:00	0.79
10132405	2020-01-02 05:00:00	0.562
10132405	2020-01-02 06:00:00	0.562
10132405	2020-01-02 07:00:00	0.638
10132405	2020-01-02 08:00:00	0.41
10132405	2020-01-02 09:00:00	1.094
10132405	2020-01-02 10:00:00	1.778
10132405	2020-01-02 11:00:00	2.31
10132405	2020-01-02 12:00:00	2.53
10132405	2020-01-02 13:00:00	3.8
10132405	2020-01-02 14:00:00	3.347
10132405	2020-01-02 15:00:00	4.742
10132405	2020-01-02 16:00:00	4.59
10132405	2020-01-02 17:00:00	2.392
10132405	2020-01-02 18:00:00	3.906
10132405	2020-01-02 19:00:00	4.514
10132405	2020-01-02 20:00:00	7.327
10132405	2020-01-02 21:00:00	7.935
10132405	2020-01-02 22:00:00	8.239
10132405	2020-01-02 23:00:00	8.543
10132405	2020-01-03 00:00:00	8.315
10132405	2020-01-03 01:00:00	8.619
10132405	2020-01-03 02:00:00	8.771
10132405	2020-01-03 03:00:00	8.923
10132405	2020-01-03 04:00:00	9.455
10132405	2020-01-03 05:00:00	9.531
10132405	2020-01-03 06:00:00	10.063
10132405	2020-01-03 07:00:00	10.063
10132405	2020-01-03 08:00:00	10.139
10132405	2020-01-03 09:00:00	10.291
10132405	2020-01-03 10:00:00	9.911
10132405	2020-01-03 11:00:00	10.139
